Tanggal,No Faktur,Nama Supplier,Jenis Pembelian,Deadline,Kode Obat,Nama Obat,Tgl.Expired,Jumlah,Harga Beli,Diskon,Pajak,Nilai Total,Total Transaksi
1/1/2024,INV-42003/2401 /58691,KDE (KARYA DWI ELANG),HUTANG,11/3/2024,AK032,URINAL PRIA ONEMED,1/12/2028,1,"4505,00","1,00%","11,00%","4950,54"," 212.186,82"
,,,,,AK033,URINAL WANITA ONEMED,11/12/2028,1,"4505,00","1,00%","11,00%","4950,54",
,,,,,AK034,AUTOCHECK 3 IN 1,11/1/2024,1,"143000,00","0,00%","11,00%","158730,00",
,,,,,AK035,MEDISOFT KAPAS BOLA,11/1/2029,2,"8289,00","3,00%","11,00%","17849,54",
,,,,,AK036,SELECTION KAPAS 35GR,1/1/2029,5,"4775,00","3,00%","11,00%","25706,20",
5/1/2024,00668/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,4/2/2024,OBT080,ZINKID SYR,1/9/2025,2,"30525,00","5,00%","0,00%","57997,50","341.863,82"
,,,,,OBT076,ZINC SYR 60ML,1/7/2027,1,"9435,00","40,00%","0,00%","5661,00",
,,,,,OL064,CESSA FEDROP BABY MERAH 8ML,1/6/2025,2,"28860,00","0,00%","0,00%","57720,00",
,,,,,OL065,CESSA HAPPY NOSE BABY BIRU 8ML,1/9/2025,2,"28860,00","0,00%","0,00%","57720,00",
,,,,,OB004,SANMOL SYR 60ML 120MG/5ML,1/11/2025,4,"17760,00","0,00%","0,00%","71040,00",
,,,,,H018,DIAPET ANAK SACHET,1/10/2025,12,"1665,00","3,00%","0,00%","19380,60",
,,,,,OL080,RIVANOL 100 ML GAJAH,1/3/2026,4,"3531,82","2,00%","0,00%","13844,72",
,,,,,OBT081,MIXAGRIP FLU,1/5/2025,25,"2340,00","0,00%","0,00%","58500,00",
6/1/2024,00867/PJ/01/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,5/2/2024,OL074,MINYAK ANGIN LANG 30ML,1/7/2028,3,"9990,00","2,00%","0,00%","29370,60"," 906.621,63"
,,,,,PB006,BYE BYE FEVER 0-2 TH,1/3/2026,10,"6439,11","3,00%","0,00%","62459,40",
,,,,,PB007,BYE BYE FEVER ANAK,1/3/2026,10,"9167,49","3,00%","0,00%","88924,70",
,,,,,OB014,MYLANTA SUSP 50ML,1/1/2026,3,"14319,00","3,00%","0,00%","41668,29",
,,,,,AK007,BETADINE SOL. 5ML,1/12/2026,8,"5683,20","3,00%","0,00%","44101,60",
,,,,,OK063,AMBROXOL TAB,1/10/2025,10,"1009,09","0,00%","0,00%","10090,90",
,,,,,H005,TOLAK ANGIN MADU 15ML,1/8/2025,72,"3527,48","5,00%","0,00%","241279,92",
,,,,,OL022,MY BABY MINYAK TELON 90ML,1/8/2025,2,"20685,35","0,00%","0,00%","41370,70",
,,,,,OBT079,OSKADON TAB,1/8/2025,50,"1700,00","0,00%","0,00%","85000,00",
,,,,,H025,LELAP,1/6/2025,3,"14948,00","3,00%","0,00%","43498,68",
,,,,,VS041,IMBOOST KID TAB,1/7/2025,2,"30636,00","3,00%","0,00%","59433,84",
,,,,,OK062,GRISEOFULVIN 500MG TAB,1/2/2028,100,"1875,57","15,00%","0,00%","159423,00",
9/1/2024,INV-42003/2401 /51388,KDE (KARYA DWI ELANG),HUTANG,8/2/2024,OL075,BUFACOMB 5GR ORAL CR,1/8/2025,3,"23500,00","12,00%","11,00%","68864,40","1.086.594,54"
,,,,,PK017,ALOCLAIR PLUS GEL 8ML,1/4/2026,1,"85000,00","5,00%","11,00%","89632,50",
,,,,,OL070,KALPANAX KRIM 5GR,1/7/2025,3,"11712,00","0,00%","11,00%","39000,96",
,,,,,VS038,CEREBROVIT X-CEL 10'S,1/8/2025,10,"15682,00","0,00%","11,00%","174070,20",
,,,,,OBT082,PROCOLD FLU 6'S,1/9/2025,24,"3247,00","0,00%","11,00%","86500,08",
,,,,,VS032,VITALONG C STRIP,1/3/2026,25,"5000,00","7,00%","11,00%","129037,50",
,,,,,OK064,SPASMAL TAB,1/1/2026,25,"10200,00","5,00%","11,00%","268897,50",
,,,,,OK055,CETIRIZINE TAB,1/11/2025,10,"3000,00","30,00%","11,00%","23310,00",
,,,,,OK007,AMLODIPINE 5MG,1/8/2025,20,"1500,00","10,00%","11,00%","29970,00",
,,,,,H007,TOLAK LINU HERBAL MINT 15ML,1/11/2024,10,"2400,00","2,00%","11,00%","26107,20",
,,,,,OB027,MYLANTA TAB,1/8/2025,20,"6950,00","2,00%","11,00%","151204,20",
9/1/2024,INV-42003/2401 /51389,KDE (KARYA DWI ELANG),HUTANG,8/2/2024,OBT058,DEMACOLIN TAB,1/10/2027,20,"4460,00","2,00%","11,00%","97031,80","691.100,90"
,,,,,OBT056,PAR_ATUSIN TAB,1/8/2025,40,"12540,00","12,00%","11,00%","489962,80",
,,,,,OBT0.32,HUFAGRIP FLU KUNING SYRUP 60 ML,1/9/2026,3,"18767,00","5,00%","11,00%","59369,40",
,,,,,OBT006,OBH COMBI ANAK JERUK SATUK PLUS FLU 60ML,1/9/2025,3,"13850,00","3,00%","11,00%","44736,90",
